Gilt Name,Close of Business Date,ISIN,Type,Coupon,Maturity,Clean Price,Dirty Price,Purchased_Price,Yield,Mod Duration,Accrued Interest
UKT 0.75 07/23,20/04/2023,GB00BF0HZ991,Conventional,0.75,22/07/2023,99.125,99.309392,114,4.166506,0.2548,0.184392
UKT 0.75 07/23,21/04/2023,GB00BF0HZ991,Conventional,0.75,22/07/2023,99.148,99.338608,107,4.184635,0.246741,0.190608
UKT 0.75 07/23,24/04/2023,GB00BF0HZ991,Conventional,0.75,22/07/2023,99.164,99.35668,111,4.156595,0.244074,0.19268
UKT 0.75 07/23,25/04/2023,GB00BF0HZ991,Conventional,0.75,22/07/2023,99.193,99.387751,97,4.07377,0.241437,0.194751
UKT 0.75 07/23,26/04/2023,GB00BF0HZ991,Conventional,0.75,22/07/2023,99.197,99.393823,96,4.094474,0.238739,0.196823
UKT 2.25 09/23,20/04/2023,GB00B7Z53659,Conventional,2.25,07/09/2023,99.305,99.580136,100,4.073762,0.375004,0.275136
UKT 2.25 09/23,21/04/2023,GB00B7Z53659,Conventional,2.25,07/09/2023,99.309,99.602478,100,4.102488,0.366993,0.293478
UKT 2.25 09/23,24/04/2023,GB00B7Z53659,Conventional,2.25,07/09/2023,99.328,99.627592,104,4.06368,0.364386,0.299592
UKT 2.25 09/23,25/04/2023,GB00B7Z53659,Conventional,2.25,07/09/2023,99.343,99.648707,96,4.035423,0.361764,0.305707
UKT 2.25 09/23,26/04/2023,GB00B7Z53659,Conventional,2.25,07/09/2023,99.331,99.642821,111,4.082216,0.359043,0.311821
UKT 0.125 01/24,20/04/2023,GB00BMGR2791,Conventional,0.125,31/01/2024,96.843,96.870624,108,4.30432,0.755118,0.027624
UKT 0.125 01/24,21/04/2023,GB00BMGR2791,Conventional,0.125,31/01/2024,96.846,96.87466,108,4.344554,0.747197,0.02866
UKT 0.125 01/24,24/04/2023,GB00BMGR2791,Conventional,0.125,31/01/2024,96.894,96.923006,104,4.293027,0.744918,0.029006
